"ID","Code","SetNumber","CardNumber","CharacterName","SeriesName","Rarity","ImageUrl","HasImage"
"NS-02-M10-PR-001","NS02M10001","NS-02-M10","001","Rem","Re:Zero","PR","https://lh3.googleusercontent.com/d/1zPJyC2Bk956II60XPNGQEm1-oJKM-5gJ","YES"
"NS-02-M10-PR-008","NS02M10008","NS-02-M10","008","Madoka Higuchi","The Idolm@ster","PR","https://lh3.googleusercontent.com/d/1alb61jC0H7paRnqEAZHaBhTXuUyTDrSp","YES"
"NS-02-M10-PR-009","NS02M10009","NS-02-M10","009","Rinze Morino","The Idolm@ster","PR","https://lh3.googleusercontent.com/d/10kpMC45Ws0mrpvgRrfpWn8AsL2AA7op4","YES"
"NS-02-M10-PR-006","NS02M10006","NS-02-M10","006","Tokai Teio","Uma Musume Pretty Derby","PR","https://lh3.googleusercontent.com/d/159SjN7nkt8PrKmL2Ay4tYBEiWQnd-FQo","YES"
"NS-02-M10-PR-007","NS02M10007","NS-02-M10","007","Mejiro McQueen","Uma Musume Pretty Derby","PR","https://lh3.googleusercontent.com/d/1pfjovyEkONYd05T82JIbbv9ng7BCgxp_","YES"
"NS-02-M10-PTR-004","NS02M10004","NS-02-M10","004","Toki Asuma","Blue Archive","PTR","https://lh3.googleusercontent.com/d/1yJ19GnIfQXl2NSp5-rW_n5FHeM6c3JGq","YES"
"NS-02-M10-PTR-001","NS02M10001","NS-02-M10","001","Sakura Kinomoto","Cardcaptor Sakura","PTR","https://lh3.googleusercontent.com/d/1S7scwHTPxW1J3Aw0jXIishKUH_4AbaZj","YES"
"NS-02-M10-PTR-003","NS02M10003","NS-02-M10","003","Shinobu Kocho","Demon Slayer","PTR","https://lh3.googleusercontent.com/d/1mW8gYJuIEBFcg4XFlpS0iateiPZhfl4T","YES"
"NS-02-M10-PTR-006","NS02M10006","NS-02-M10","006","Seele","Honkai: Star Rail","PTR","https://lh3.googleusercontent.com/d/1Pr_DBCMfBkJdT9dpPCheDUVqfOxeoV9S","YES"
"NS-02-M10-PTR-007","NS02M10007","NS-02-M10","007","Silver Wolf","Honkai: Star Rail","PTR","https://lh3.googleusercontent.com/d/1oPJgOqQBe3dIOdEvrLDXca-x6AoL1trw","YES"
"NS-02-M10-PTR-008","NS02M10008","NS-02-M10","008","Kafka","Honkai: Star Rail","PTR","https://lh3.googleusercontent.com/d/1OSVGpIn74RPwhotbjNkJxe98BZuPewkR","YES"
"NS-02-M10-PTR-009","NS02M10009","NS-02-M10","009","Himeko","Honkai: Star Rail","PTR","https://lh3.googleusercontent.com/d/1rBvxz9jhXLzsLrrqn0ug1bk6y6CYIY5c","YES"
"NS-02-M10-PTR-005","NS02M10005","NS-02-M10","005","Ai Hoshino","Oshi no Ko","PTR","https://lh3.googleusercontent.com/d/1OV_sGnqC-aLOPiwO7jjmWlWHG-IuvO9_","YES"
"NS-02-M10-PTR-002","NS02M10002","NS-02-M10","002","Misaka Mikoto","Toaru Kagaku no Railgun","PTR","https://lh3.googleusercontent.com/d/1zM77I1kYj-_lDqVxSCYS57ESQ7jD3J2s","YES"
"NS-02-M10-R-017","NS02M10017","NS-02-M10","017","Kayoko Onikata","Blue Archive","R","https://lh3.googleusercontent.com/d/130UmtkzrSfx7MKNgAheJ4_Cgj6TV_one","YES"
"NS-02-M10-R-001","NS02M10001","NS-02-M10","001","C.C.","Code Geass","R","https://lh3.googleusercontent.com/d/187VCs2O__wMG3CNuYZWUmHL8Y9JFIK5f","YES"
"NS-02-M10-R-018","NS02M10018","NS-02-M10","018","Nero Claudius (Beast/Draco)","Fate/Grand Order","R","https://lh3.googleusercontent.com/d/11hm38_jQ2dKpkk5PcmKttTgZelqgILa3","YES"
"NS-02-M10-R-004","NS02M10004","NS-02-M10","004","Sayu Ogiwara","Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway","R","https://lh3.googleusercontent.com/d/1Un_mgZKdSGLNM0uPvMPHsx3R3m_2f0Yg","YES"
"NS-02-M10-R-003","NS02M10003","NS-02-M10","003","Azusa Nakano","K-On!","R","https://lh3.googleusercontent.com/d/1kCUCpCKb6ZKt24dHTcQuGVeAjQD34guF","YES"
"NS-02-M10-R-013","NS02M10013","NS-02-M10","013","Shouko Komi","Komi Can't Communicate","R","https://lh3.googleusercontent.com/d/1L2IbOQ9mDxjRXZn5RmYDGZX-a3wJ1DwL","YES"
"NS-02-M10-R-014","NS02M10014","NS-02-M10","014","Shinka Nibutani","Love, Chunibyo & Other Delusions!","R","https://lh3.googleusercontent.com/d/1Qroj4oaupPyZMecL5JktygrTehdVVY45","YES"
"NS-02-M10-R-015","NS02M10015","NS-02-M10","015","Sanae Dekomori","Love, Chunibyo & Other Delusions!","R","https://lh3.googleusercontent.com/d/1Pxkk2mlAcujK961fxDHzjWGphuvD2jZv","YES"
"NS-02-M10-R-016","NS02M10016","NS-02-M10","016","Satone Shichimiya","Love, Chunibyo & Other Delusions!","R","https://lh3.googleusercontent.com/d/1IjceegnDDo0yVBfbFjUEBdpFDcH0xdrt","YES"
"NS-02-M10-R-005","NS02M10005","NS-02-M10","005","Aki Adagaki","Masamune-kun's Revenge","R","https://lh3.googleusercontent.com/d/1hGEbXosG-Yt_WUy_5k3jjYM5DmjhD-1C","YES"
"NS-02-M10-R-007","NS02M10007","NS-02-M10","007","Isla","Plastic Memories","R","https://lh3.googleusercontent.com/d/1yK0Wh8iOETQro9Rejno8JacfuOffSZCL","YES"
"NS-02-M10-R-002","NS02M10002","NS-02-M10","002","Mashiro Shiina","The Pet Girl of Sakurasou","R","https://lh3.googleusercontent.com/d/10Yv6REsav1HdmQ-3efLK1_1Ee5LZyxNM","YES"
"NS-02-M10-R-010","NS02M10010","NS-02-M10","010","Ginko Sora","The Ryuo's Work is Never Done","R","https://lh3.googleusercontent.com/d/1cNXFxaRlo2rd05Ovpn841_Sqkc5sZKFN","YES"
"NS-02-M10-R-011","NS02M10011","NS-02-M10","011","Ai Hinatsuru","The Ryuo's Work is Never Done","R","https://lh3.googleusercontent.com/d/1MlGhQ9_wk_OgvSjZwTRZc2vztFMugYu3","YES"
"NS-02-M10-R-012","NS02M10012","NS-02-M10","012","Ai Yashajin","The Ryuo's Work is Never Done","R","https://lh3.googleusercontent.com/d/1CwBf9MhOrgw6JDv-7vGnGlfq-JrR__2G","YES"
"NS-02-M10-R-008","NS02M10008","NS-02-M10","008","Misaka Mikoto","Toaru Kagaku no Railgun","R","https://lh3.googleusercontent.com/d/1ufjedaR7X2fdPI8diGS_HgHS2ZzAQCbK","YES"
"NS-02-M10-R-009","NS02M10009","NS-02-M10","009","Kuroko Shirai","Toaru Kagaku no Railgun","R","https://lh3.googleusercontent.com/d/1xdcNAuHNQNk_Jcx-edCYWWuVQpfhdhlq","YES"
"NS-02-M10-R-006","NS02M10006","NS-02-M10","006","Chtholly Nota Seniorious","WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?","R","https://lh3.googleusercontent.com/d/1ox_DDIfW8c50XdPcE7XXace4LmsfVGyI","YES"
"NS-02-M10-SCR-007","NS02M10007","NS-02-M10","007","Tomimi","Arknights","SCR","https://lh3.googleusercontent.com/d/1lLW5U5NaOqQ3PerulznMReaaaHbD-CnH","YES"
"NS-02-M10-SCR-008","NS02M10008","NS-02-M10","008","W","Arknights","SCR","https://lh3.googleusercontent.com/d/1oQeKaR6YBkF75Wo-U58onoApMG95e1QY","YES"
"NS-02-M10-SCR-009","NS02M10009","NS-02-M10","009","Nian","Arknights","SCR","https://lh3.googleusercontent.com/d/1LTKojP2tR7mIEKh8zwghQFq-vDAiPC8U","YES"
"NS-02-M10-SCR-010","NS02M10010","NS-02-M10","010","Texas","Arknights","SCR","https://lh3.googleusercontent.com/d/1bdkW4DFzKT5Bwo02-Zw9FgHh-M0xAGHb","YES"
"NS-02-M10-SCR-011","NS02M10011","NS-02-M10","011","Goldenglow","Arknights","SCR","https://lh3.googleusercontent.com/d/17A4LLOccynZ3lM6rGZfI71yRXgMS-G82","YES"
"NS-02-M10-SCR-001","NS02M10001","NS-02-M10","001","Aru Rikuhachima","Blue Archive","SCR","https://lh3.googleusercontent.com/d/1PSpX5ygc4wjMNqqlTlL2tHEBYMu2nDNT","YES"
"NS-02-M10-SCR-002","NS02M10002","NS-02-M10","002","Shiroko Sunaookami","Blue Archive","SCR","https://lh3.googleusercontent.com/d/1PxcbcXxhpTZQPV2VDtuQQByWB5pg7Rnc","YES"
"NS-02-M10-SCR-003","NS02M10003","NS-02-M10","003","Arona","Blue Archive","SCR","https://lh3.googleusercontent.com/d/14YoQEctqNU9VvzDIjUdTVove_JdyZd1G","YES"
"NS-02-M10-SCR-004","NS02M10004","NS-02-M10","004","Akira Kiyosumi","Blue Archive","SCR","https://lh3.googleusercontent.com/d/1E3Bg9FF7N2G20F2F1yHbL90AkWUjtn4O","YES"
"NS-02-M10-SCR-005","NS02M10005","NS-02-M10","005","Azusa Shirasu","Blue Archive","SCR","https://lh3.googleusercontent.com/d/1TaWRXWJBXsGKiH9DuQainc1gjFtXU8Tk","YES"
"NS-02-M10-SCR-006","NS02M10006","NS-02-M10","006","Ui","Blue Archive","SCR","https://lh3.googleusercontent.com/d/1FS8l_ZQ6wLtbKZeQt6gzFgydkjoXFtqY","YES"
"NS-02-M10-SCR-017","NS02M10017","NS-02-M10","017","Shenhe","Genshin Impact","SCR","https://lh3.googleusercontent.com/d/10t_6a86leX09EeFrgd42Z8VL698GBUqj","YES"
"NS-02-M10-SCR-018","NS02M10018","NS-02-M10","018","Hoshimachi Suisei","Hololive","SCR","https://lh3.googleusercontent.com/d/13dbp6GHoCtz3mXRejZatQ5OoHM5uKrD4","YES"
"NS-02-M10-SCR-015","NS02M10015","NS-02-M10","015","Asta","Honkai: Star Rail","SCR","https://lh3.googleusercontent.com/d/1HoswIaMKdRMX4JMjBLKZEIHSBdDYD-kQ","YES"
"NS-02-M10-SCR-014","NS02M10014","NS-02-M10","014","Chino Kafuu","Is the Order a Rabbit?","SCR","https://lh3.googleusercontent.com/d/1xK52GZEc2DNzahxnDQb3iV8D__Rj34jY","YES"
"NS-02-M10-SCR-012","NS02M10012","NS-02-M10","012","Sayaka Murano","Love Live!","SCR","https://lh3.googleusercontent.com/d/11p67doQ45Y_kZyxPUGYV3cgbx_TIjzwt","YES"
"NS-02-M10-SCR-016","NS02M10016","NS-02-M10","016","Ena Shinonome","Project Sekai","SCR","https://lh3.googleusercontent.com/d/1wNPlfF7Vy4zG7Gf_leRmZ7OYlEYU96fd","YES"
"NS-02-M10-SCR-013","NS02M10013","NS-02-M10","013","Dark Magician Girl","Yu-Gi-Oh!","SCR","https://lh3.googleusercontent.com/d/1mbNiU2SwV8LR0apdMK1AmAwRnbB6P8R2","YES"
"NS-02-M10-SER-002","NS02M10002","NS-02-M10","002","Pink Rose","Original","SER","https://lh3.googleusercontent.com/d/1LnM06ckPph7yPLRWCG29pQ-L77nk4W_o","YES"
"NS-02-M10-SER-003","NS02M10003","NS-02-M10","003","Blue Rose","Original","SER","https://lh3.googleusercontent.com/d/1Wl-4pJHZgqtkSgoQIFdiSTvxqNP8r8sl","YES"
"NS-02-M10-SER-004","NS02M10004","NS-02-M10","004","Red Peony","Original","SER","https://lh3.googleusercontent.com/d/1R6VWs1tH4gfDMJ1UfEhTp55eFY1V8T-A","YES"
"NS-02-M10-SER-005","NS02M10005","NS-02-M10","005","Purple Lily","Original","SER","https://lh3.googleusercontent.com/d/17lCx0sahzqpfc9YD4kCdugFZHmppr4HC","YES"
"NS-02-M10-SER-006","NS02M10006","NS-02-M10","006","Green Camellia (Hatsune Miku)","Vocaloid","SER","https://lh3.googleusercontent.com/d/1TZ2wxT2EUs4Z4y8Wql76n9ZzmlDmwcuH","YES"
"NS-02-M10-SER-001","NS02M10001","NS-02-M10","001","Red Tsubaki (Inui Toko)","Vtuber","SER","https://lh3.googleusercontent.com/d/1jb3tSR75QmkshIaJFWgcT5ji4jaoTBD3","YES"
"NS-02-M10-SR-016","NS02M10016","NS-02-M10","016","Mikasa Ackerman","Attack on Titan","SR","https://lh3.googleusercontent.com/d/1SWxCSD9GeldoYAJnr--um1BGZeO8Az2L","YES"
"NS-02-M10-SR-018","NS02M10018","NS-02-M10","018","Mari Iochi","Blue Archive","SR","https://lh3.googleusercontent.com/d/1v-sBh9oLYFx6Ac4Z-Tj9w-BF3oE6w2C8","YES"
"NS-02-M10-SR-008","NS02M10008","NS-02-M10","008","Hitori Gotoh","Bocchi the Rock!","SR","https://lh3.googleusercontent.com/d/1zNWL8zZ6XP2Fa76QgyMzgSgqaN5JalbB","YES"
"NS-02-M10-SR-001","NS02M10001","NS-02-M10","001","Nahida","Genshin Impact","SR","https://lh3.googleusercontent.com/d/1iN9PIbOmE7HvC2R4EF3tkRRkCwA1DsZD","YES"
"NS-02-M10-SR-002","NS02M10002","NS-02-M10","002","Lumine","Genshin Impact","SR","https://lh3.googleusercontent.com/d/1Y85bLXxsV-xLcV80pWqrhB9uJ9amDHlJ","YES"
"NS-02-M10-SR-017","NS02M10017","NS-02-M10","017","Clara","Honkai: Star Rail","SR","https://lh3.googleusercontent.com/d/1iqGDdGV3p3hXjWYZ_26zZ-1282piy8Du","YES"
"NS-02-M10-SR-014","NS02M10014","NS-02-M10","014","Kaguya Shinomiya","Kaguya-sama: Love is War","SR","https://lh3.googleusercontent.com/d/1RIwwtUghK0Rug1h2t1f80zxOFg-Q-C_g","YES"
"NS-02-M10-SR-004","NS02M10004","NS-02-M10","004","Takina Inoue","Lycoris Recoil","SR","https://lh3.googleusercontent.com/d/1UoiFvNkPy0GR8NlPLXx0ifslxq23cfzI","YES"
"NS-02-M10-SR-005","NS02M10005","NS-02-M10","005","Chisato Nishikigi","Lycoris Recoil","SR","https://lh3.googleusercontent.com/d/196mL-6QmnoPgriQ5m8Q_NrT8mut20Blo","YES"
"NS-02-M10-SR-003","NS02M10003","NS-02-M10","003","Emilia","Re:Zero","SR","https://lh3.googleusercontent.com/d/1FtNqGQ6YYbCUb_c-a5XMNs0M3tJWFKrW","YES"
"NS-02-M10-SR-006","NS02M10006","NS-02-M10","006","Anya Forger","Spy X Family","SR","https://lh3.googleusercontent.com/d/10OE6dcSCQ3sK8210Wd4gR3Wk9CdEUv61","YES"
"NS-02-M10-SR-007","NS02M10007","NS-02-M10","007","Yor Forger","Spy X Family","SR","https://lh3.googleusercontent.com/d/1mGhAmzG3UYTU5XsntQ34lmu32N1tjy_x","YES"
"NS-02-M10-SR-009","NS02M10009","NS-02-M10","009","Haine","Summer Time Rendering","SR","https://lh3.googleusercontent.com/d/1osjYMZFlxZgRicpp5tJNDKYOlbmBrP32","YES"
"NS-02-M10-SR-013","NS02M10013","NS-02-M10","013","Iwato Suzume","Suzume No Tojimari","SR","https://lh3.googleusercontent.com/d/1oOApdvo7dt-TejGStuQ5gtgHF-nOZK65","YES"
"NS-02-M10-SR-015","NS02M10015","NS-02-M10","015","Asuna Yuuki","Sword Art Online","SR","https://lh3.googleusercontent.com/d/1VCbXHTwYlCmFLMAToLOiUEJbGMtW813e","YES"
"NS-02-M10-SR-010","NS02M10010","NS-02-M10","010","Haruhi Suzumiya","The Melancholy of Haruhi Suzumiya","SR","https://lh3.googleusercontent.com/d/1yeNULsGtm-vZteZxjAl4jtXypuhY5LyU","YES"
"NS-02-M10-SR-011","NS02M10011","NS-02-M10","011","Hina Amano","Weathering with You","SR","https://lh3.googleusercontent.com/d/1sEoAb0ObZxK77WfFx5qpSWPlEMHMXrZU","YES"
"NS-02-M10-SR-012","NS02M10012","NS-02-M10","012","Mitsuha Miyamizu","Your Name","SR","https://lh3.googleusercontent.com/d/1LRj5U0bKkxIzYyfGKW12zd-VoyJh03Yd","YES"
"NS-02-M10-SSR-001","NS02M10001","NS-02-M10","001","Sakura Kinomoto","Cardcaptor Sakura","SSR","https://lh3.googleusercontent.com/d/1uaBAuvOyIXRN0GawjApZq-Yf1gnehmRC","YES"
"NS-02-M10-SSR-009","NS02M10009","NS-02-M10","009","Mitsuri Kanroji","Demon Slayer","SSR","https://lh3.googleusercontent.com/d/15AmXG35QOGOBK-PrzmaGDkVKiIkVJcuN","YES"
"NS-02-M10-SSR-004","NS02M10004","NS-02-M10","004","Morgan Le Fay","Fate/Grand Order","SSR","https://lh3.googleusercontent.com/d/1WDJT0UiOZ7ZjRBLfdhJ01yN2Bjn9J2tZ","YES"
"NS-02-M10-SSR-005","NS02M10005","NS-02-M10","005","Ishtar","Fate/Grand Order","SSR","https://lh3.googleusercontent.com/d/1QPPhe4SkBgMnjY0qjIxGz83kuLnX1Qil","YES"
"NS-02-M10-SSR-003","NS02M10003","NS-02-M10","003","Sakura Matou","Fate/stay night","SSR","https://lh3.googleusercontent.com/d/1VVdph85DX8WAfJWtbZ7edqfbwE9FFtW4","YES"
"NS-02-M10-SSR-010","NS02M10010","NS-02-M10","010","Ganyu","Genshin Impact","SSR","https://lh3.googleusercontent.com/d/1OqmNFY1Yjv3DZR2nj6dfQzlS6PmyyIA7","YES"
"NS-02-M10-SSR-011","NS02M10011","NS-02-M10","011","Nilou","Genshin Impact","SSR","https://lh3.googleusercontent.com/d/1KDe-d8H1tkwI1WjAnpFWgFlMN-1bPcEa","YES"
"NS-02-M10-SSR-012","NS02M10012","NS-02-M10","012","Hu Tao","Genshin Impact","SSR","https://lh3.googleusercontent.com/d/16OmsdoUJHCyNu-YBuJfqXL-RBewf7VU-","YES"
"NS-02-M10-SSR-013","NS02M10013","NS-02-M10","013","Collei","Genshin Impact","SSR","https://lh3.googleusercontent.com/d/1xPdK3tdaH7GKKTY_5XlaLuAkIBB-ENCp","YES"
"NS-02-M10-SSR-014","NS02M10014","NS-02-M10","014","Klee","Genshin Impact","SSR","https://lh3.googleusercontent.com/d/1VoQ8KMLivx8HWyUBO_TWuxsjeGxpbVIu","YES"
"NS-02-M10-SSR-015","NS02M10015","NS-02-M10","015","Nahida","Genshin Impact","SSR","https://lh3.googleusercontent.com/d/15NVyMHZYBlAYWD1FlOjcBU-cBXBRmebs","YES"
"NS-02-M10-SSR-016","NS02M10016","NS-02-M10","016","Columbina","Genshin Impact","SSR","https://lh3.googleusercontent.com/d/16hCOBgERKk8k5N2B_vH592I5RZ_owtt3","YES"
"NS-02-M10-SSR-026","NS02M10026","NS-02-M10","026","Houshou Marine","Hololive","SSR","https://lh3.googleusercontent.com/d/1yIxQcyHa-MiOlQ4a5KXKt2tCP2WKWbK2","YES"
"NS-02-M10-SSR-027","NS02M10027","NS-02-M10","027","Minato Aqua","Hololive","SSR","https://lh3.googleusercontent.com/d/1vpgHSlNYT76W0wg4AF50NEJnz2zgf004","YES"
"NS-02-M10-SSR-022","NS02M10022","NS-02-M10","022","March 7th","Honkai: Star Rail","SSR","https://lh3.googleusercontent.com/d/1rCSjHfDwCpK4cEHLFKuhsLWbj6W1_whQ","YES"
"NS-02-M10-SSR-023","NS02M10023","NS-02-M10","023","Tingyun","Honkai: Star Rail","SSR","https://lh3.googleusercontent.com/d/1Ml57BDtdU6I2CGTGbfSfPk7hOFzxzzf1","YES"
"NS-02-M10-SSR-024","NS02M10024","NS-02-M10","024","Natasha","Honkai: Star Rail","SSR","https://lh3.googleusercontent.com/d/1CMKpJC5zz8C69HSw-IrGgLbQ8E_zU7c0","YES"
"NS-02-M10-SSR-007","NS02M10007","NS-02-M10","007","Kikyo","Inuyasha","SSR","https://lh3.googleusercontent.com/d/1Y7uMgkLI3PMVXtEWhPKEnH0hRWpFt_pg","YES"
"NS-02-M10-SSR-008","NS02M10008","NS-02-M10","008","Tohru","Miss Kobayashi's Dragon Maid","SSR","https://lh3.googleusercontent.com/d/1JZk_4cAvOX0HhVrMWGUX1kRkYsPjhPFE","YES"
"NS-02-M10-SSR-002","NS02M10002","NS-02-M10","002","Sailor Moon","Sailor Moon","SSR","https://lh3.googleusercontent.com/d/1Q9ddlwsYVBdOysfSOSO7d1umAue3WDDM","YES"
"NS-02-M10-SSR-025","NS02M10025","NS-02-M10","025","Madoka Higuchi","The Idolm@ster","SSR","https://lh3.googleusercontent.com/d/1UDk6llSD4mF1h_nms19MaZmv1MeJLBhi","YES"
"NS-02-M10-SSR-021","NS02M10021","NS-02-M10","021","Yotsuba Nakano","The Quintessential Quintuplets","SSR","https://lh3.googleusercontent.com/d/1zmuBCKFFEIY9RvqpbMSo0XquIKR1isSa","YES"
"NS-02-M10-SSR-017","NS02M10017","NS-02-M10","017","Yukari Yakumo","Touhou Project","SSR","https://lh3.googleusercontent.com/d/1EhtaHJuG7gG8ODMi_ouMmF4H6S0DK649","YES"
"NS-02-M10-SSR-018","NS02M10018","NS-02-M10","018","Marisa Kirisame","Touhou Project","SSR","https://lh3.googleusercontent.com/d/1T32UUehRxOTNr8qcDW7iS0PWfbQzvBk0","YES"
"NS-02-M10-SSR-019","NS02M10019","NS-02-M10","019","Tenshi Hinanawi","Touhou Project","SSR","https://lh3.googleusercontent.com/d/1PlYrN80YRZ81Fct7i6ZOXXgxZQ6L07Iu","YES"
"NS-02-M10-SSR-020","NS02M10020","NS-02-M10","020","Reimu Hakurei","Touhou Project","SSR","https://lh3.googleusercontent.com/d/1Og6iYFaJr5nWebVJK6s_ueRZkukOtReQ","YES"
"NS-02-M10-SSR-006","NS02M10006","NS-02-M10","006","Hatsune Miku","Vocaloid","SSR","https://lh3.googleusercontent.com/d/1P5fprtvc7sGXt5wirfJsbeSnUrzeVONo","YES"
"NS-02-M10-UR-006","NS02M10006","NS-02-M10","006","Kirara","Genshin Impact","UR","https://lh3.googleusercontent.com/d/1SUjSLjPZuQkPJcWbq_rZ4TbZluVLE4pV","YES"
"NS-02-M10-UR-005","NS02M10005","NS-02-M10","005","Bronya Rand","Honkai Impact","UR","https://lh3.googleusercontent.com/d/1cCR15CH88jBxmpl9wPFKbAmCc2KcXs2q","YES"
"NS-02-M10-UR-003","NS02M10003","NS-02-M10","003","Kafka","Honkai: Star Rail","UR","https://lh3.googleusercontent.com/d/1rCZVK_8LV-RiA-PFsKw0YFdFiPN82Sta","YES"
"NS-02-M10-UR-004","NS02M10004","NS-02-M10","004","Stelle","Honkai: Star Rail","UR","https://lh3.googleusercontent.com/d/1-p5OCuEqHgqeyCAZPQEq7HRUe9XFPJXa","YES"
